Abendschein, Hartmut
Joho, Rudolf
Joss, Anna
Joss, Siegfried
Jost, Eugen
Jost, Peter
Juker, Werner
Jundt, Bernhard
Jungi-Müller, Rosmarie
Junker, Hermann
Kaech, René
Karpf, Urs
Käser, Jakob
Kasser, Hedwig
Kasser-Farner, Hedwig
Kauer, Walther
Keller, Agathe
Keller, Béatrice
Keller, Markus
Kilchherr, Juerg
Kilchmann, Martin
Klopfenstein, Freddy
Klopfenstein, Fritz
Klöti, Thomas
Kobel, Ruth Elisabeth
Kobel-Stämpfli, Veronika
Kobi, Fritz
Kohlbrenner-Hutmacher, Anna
Kohler, Heidi
Kohler-Aeberhardt, Christine
Könneker, Marie-Luise
Kopf, Hermann
Kopp, Hans W.
Krähenbühl, Peter
Krattiger, Hans
Krebs, Ruedi
Kreienbrock, Jürg
Krischel-Brog, Lisa
Krneta, Guy
Krockauer, Doris
Küffer, Georg
Küffer, Hektor
Kuhn, Christoph
Kühnhanss, Christoph
Kummer, Tom
Kummer-Burri, Ruth
Küng-Flückiger, Hanny
Kunz, Jean-Claude
Künzi, Hans
Künzi, Heinrich
Künzi-Schmalz, Käthi
Kurt, Viktor
Kurth, Hans
Kurz, Alex
Küster, Hermann
Kutter, Markus
Laederach, Jürg
Laederach, Monique
Laedrach, Walter
Langhans-Maync, Susy
Lanz, Peter
Lappert, Rolf
Larese, Dino
Lascaux, Paul
Lauber, Maria
Laubscher, Karl Adolf
Lauener, Henri
Lauterjung, Gertrud
Le Quellec Cottier, Christine
Ledermann, Philippe Daniel
Lehmann, Roger
Lehmann-Gugolz, Ursula
Lehner, Peter
Lenz, Pedro
Lerber, Helene von
Lerch, Fredi
Lerch, Hansruedi
Leroy, Claude
Leupi, Walter
Lie, Romie
Liechti, Dora
Liechti, Elisabeth
Liechti, Martin
Liègme, Bernard
Lienhard, Fredy
Limbach, Fridolin
Linder, Alfred
Linder, Robert
Lindt, Nicolas
Locher, Otto
Loeb, François
Loeb, Ruth
Löffel-Schumacher, Bethli
Loosli, Carl Albert
Loosli, Martin
Lüdi, Paul
Ludwig, Hermann
Luginbühl, Andreas
Luginbühl, Barbara
Luterbacher, Thierry
Lüthi, Elisabeth
Lüthi-Boillot, Jeanne
Lutz, Werner
Mäder, Rolf
Maibach, Anna Elisabeth
Maibach, Eduard
Maibach, Peter
Mannhart, Urs
Manzone, Augusto
Markus, Gabriele
Marretta, Saro Rosario
Marti, Hugo
